trade_id,date_trade,strategy,ticker,price_entry,predict,buy_sell,target,stop_loss,date_exit_latest,range_dn,range_up,tp_pct,notional_for_1k_pnl,timestamp_px,timestamp_signal
V2021052107001,2021-05-21,4,XLF:US,37.63,down,-1,36.744333095290806,38.5156669047092,2021-05-28,36.7443330952908,38.5156669047092,0.02353619199333501,1129.092658518548,2021-05-21 20:50:20,2021-05-21 20:50:59
V2021052107002,2021-05-21,4,EFA:US,80.08,down,-1,78.6748824735336,81.4851175264664,2021-05-28,78.6748824735336,81.4851175264664,0.017546422658171856,711.6842407587113,2021-05-21 20:50:20,2021-05-21 20:50:59
V2021052107003,2021-05-21,4,KRE:US,70.7,down,-1,68.21597235679221,73.1840276432078,2021-05-28,68.2159723567922,73.1840276432078,0.035134761572953366,402.57200950816645,2021-05-21 20:50:20,2021-05-21 20:50:59
V2021052107004,2021-05-21,4,IWN:US,163.9,down,-1,158.35280788436202,169.447192115638,2021-05-28,158.352807884362,169.447192115638,0.03384497935105535,180.27138400000987,2021-05-21 20:50:20,2021-05-21 20:50:59
V2021052107005,2021-05-21,4,ACWI:US,99.23,down,-1,97.36704880642601,101.092951193574,2021-05-28,97.3670488064262,101.092951193574,0.018774072292391253,536.7827152151781,2021-05-21 20:50:20,2021-05-21 20:50:59
V2021052107006,2021-05-21,4,VTV:US,139.4,down,-1,137.03903328135002,141.76096671865,2021-05-28,137.03903328135,141.76096671865,0.016936633562768977,423.55531405872654,2021-05-21 20:50:20,2021-05-21 20:50:59
V2021052107007,2021-05-21,4,IJR:US,110.64,down,-1,107.321904844731,113.958095155269,2021-05-28,107.321904844731,113.958095155269,0.02999001405702284,301.37773427384644,2021-05-21 20:50:20,2021-05-21 20:50:59
V2021052107008,2021-05-21,4,DVY:US,121.41,down,-1,119.18788983152999,123.63211016847,2021-05-28,119.18788983153,123.63211016847,0.018302530009636886,450.0226920290492,2021-05-21 20:50:20,2021-05-21 20:50:59
V2021052107009,2021-05-21,4,EFV:US,53.62,down,-1,52.376410304478995,54.863589695521,2021-05-28,52.376410304479,54.863589695521,0.023192646317064636,804.1237424221716,2021-05-21 20:50:20,2021-05-21 20:50:59
V2021052107010,2021-05-21,4,EZU:US,50.2,down,-1,49.0537251599206,51.3462748400794,2021-05-28,49.0537251599206,51.3462748400794,0.022834160160944306,872.3911273588876,2021-05-21 20:50:20,2021-05-21 20:50:59
