trade_id,date_trade,strategy,ticker,price_entry,predict,buy_sell,target,stop_loss,date_exit_latest,range_dn,range_up,tp_pct,notional_for_1k_pnl,timestamp_px,timestamp_signal
V2026021907001,2026-02-19,4,IWD:US,224.45,down,-1,220.98014018842798,227.919859811572,2026-02-26,220.980140188428,227.919859811572,0.01545938877955888,288.19608119757396,2026-02-19 20:50:26,2026-02-19 20:50:00
V2026021907002,2026-02-19,4,VTV:US,207.31,down,-1,204.070869408257,210.549130591743,2026-02-26,204.070869408257,210.549130591743,0.015624574751545994,308.7248172547105,2026-02-19 20:50:26,2026-02-19 20:50:00
V2026021907003,2026-02-19,4,DGRO:US,73.81,down,-1,72.82571235807521,74.7942876419248,2026-02-26,72.8257123580752,74.7942876419248,0.013335423952374859,1015.9631772318974,2026-02-19 20:50:26,2026-02-19 20:50:00
