trade_id,date_trade,strategy,ticker,price_entry,predict,buy_sell,target,stop_loss,date_exit_latest,range_dn,range_up,tp_pct,notional_for_1k_pnl,timestamp_px,timestamp_signal
V2021080507001,2021-08-05,4,INDU:IND,35024.49,down,-1,34572.019113667,35476.960886333,2021-08-12,34572.019113667,35476.960886333,0.012918700210424294,2.210086947481596,2021-08-05 20:50:38,2021-08-05 20:50:00
V2021080507002,2021-08-05,4,SPX:IND,4424.8,down,-1,4370.933522498681,4478.66647750132,2021-08-12,4370.93352249868,4478.66647750132,0.012173765481223953,18.56442162893424,2021-08-05 20:50:38,2021-08-05 20:50:00
V2021080507003,2021-08-05,4,VTI:US,228.31,flat,0,231.625095286041,224.99490471395902,2021-08-12,224.994904713959,231.625095286041,0.014520149297188034,301.6504545768982,2021-08-05 20:50:38,2021-08-05 20:50:00
V2021080507004,2021-08-05,4,USMV:US,76.44,flat,0,77.3896331428358,75.49036685716419,2021-08-12,75.4903668571642,77.3896331428358,0.012423248859704472,1053.038225912992,2021-08-05 20:50:38,2021-08-05 20:50:00
V2021080507005,2021-08-05,4,ACWI:US,103.08,flat,0,104.646281440028,101.51371855997199,2021-08-12,101.513718559972,104.646281440028,0.015194814125223166,638.4548615874046,2021-08-05 20:50:38,2021-08-05 20:50:00
V2021080507006,2021-08-05,11,AAXJ:US,88.99,flat,0,91.5571282782914,86.42287172170859,2021-08-12,86.4228717217086,91.5571282782914,0.028847379236896398,389.54033129406554,2021-08-05 20:50:38,2021-08-05 20:50:00
