trade_id,date_trade,strategy,ticker,price_entry,predict,buy_sell,target,stop_loss,date_exit_latest,range_dn,range_up,tp_pct,notional_for_1k_pnl,timestamp_px,timestamp_signal
V2021042907001,2021-04-29,4,INDU:IND,34066.2,down,-1,33735.1370010286,34397.2629989714,2021-05-06,33735.1370010286,34397.2629989714,0.00971822507269371,3.02057313292928,2021-04-29 20:50:21,2021-04-29 20:50:59
V2021042907002,2021-04-29,5,USMV:US,72.13,up,1,72.8096542326875,71.45034576731248,2021-05-06,71.4503457673125,72.8096542326875,0.009422629040447994,1471.3363823922102,2021-04-29 20:50:21,2021-04-29 20:50:59
V2021042907003,2021-04-29,14,CCMP:IND,14079.65,up,1,14319.4145346775,13839.885465322499,2021-05-06,13839.8854653225,14319.4145346775,0.017029154466020158,4.170758620932269,2021-04-29 20:50:21,2021-04-29 20:50:59
V2021042907004,2021-04-29,14,EEM:US,54.92,flat,0,55.9329234094489,53.90707659055111,2021-05-06,53.9070765905511,55.9329234094489,0.01844361634102132,987.241474203936,2021-04-29 20:50:21,2021-04-29 20:50:59
V2021042907005,2021-04-29,14,EFA:US,79.08,up,1,80.3452525194444,77.8147474805556,2021-05-06,77.8147474805556,80.3452525194444,0.015999652496767824,790.356063024575,2021-04-29 20:50:21,2021-04-29 20:50:59
V2021042907006,2021-04-29,14,IWF:US,261.42,up,1,265.483067336529,257.356932663471,2021-05-06,257.356932663471,265.483067336529,0.015542297209582223,246.11947506001326,2021-04-29 20:50:21,2021-04-29 20:50:59
V2021042907007,2021-04-29,14,ACWI:US,100.16,up,1,101.261735697462,99.05826430253799,2021-05-06,99.0582643025377,101.261735697462,0.010999757362839535,907.6587082579158,2021-04-29 20:50:21,2021-04-29 20:50:59
V2021042907008,2021-04-29,14,VWO:US,53.76,up,1,54.6281771730334,52.891822826966596,2021-05-06,52.8918228269666,54.6281771730334,0.016149128962674952,1151.8386235680518,2021-04-29 20:50:21,2021-04-29 20:50:59
V2021042907009,2021-04-29,14,AAXJ:US,95.12,up,1,96.8064180809757,93.4335819190243,2021-05-06,93.4335819190243,96.8064180809757,0.017729374274344956,592.9727694934586,2021-04-29 20:50:21,2021-04-29 20:50:59
V2021042907010,2021-04-29,14,EFV:US,52.49,up,1,53.401017544023,51.578982455977005,2021-05-06,51.578982455977,53.401017544023,0.0173560210330157,1097.6737018521785,2021-04-29 20:50:21,2021-04-29 20:50:59
V2021042907011,2021-04-29,14,EZU:US,49.31,up,1,50.1407622514936,48.47923774850641,2021-05-06,48.4792377485064,50.1407622514936,0.016847743895631595,1203.713816079318,2021-04-29 20:50:21,2021-04-29 20:50:59
