trade_id,date_trade,strategy,ticker,price_entry,predict,buy_sell,target,stop_loss,date_exit_latest,range_dn,range_up,tp_pct,notional_for_1k_pnl,timestamp_px,timestamp_signal
V2021091401001,2021-09-14,14,NKY:IND,30646.72,up,1,31129.5537008135,30163.886299186503,2021-09-21,30163.8862991865,31129.5537008135,0.015754824686410096,227.9749731937574,2021-09-14 06:50:14,2021-09-14 06:50:00
V2021091401002,2021-09-14,14,TPX:IND,2114.64,up,1,2144.75624506615,2084.52375493385,2021-09-21,2084.52375493385,2144.75624506615,0.014241783502700223,3654.9709221127628,2021-09-14 06:50:14,2021-09-14 06:50:00
V2021091401003,2021-09-14,14,JPNK400:IND,19132.64,up,1,19404.866717309,18860.413282691,2021-09-21,18860.413282691,19404.866717309,0.014228392804599865,404.34679258559646,2021-09-14 06:50:14,2021-09-14 06:50:00
