trade_id,date_trade,strategy,ticker,price_entry,predict,buy_sell,target,stop_loss,date_exit_latest,range_dn,range_up,tp_pct,notional_for_1k_pnl,timestamp_px,timestamp_signal
V2020120809001,2020-12-08,14,EURGBP,0.906525,flat,0,0.915081134435694,0.897968865564306,2020-12-15,0.897968865564307,0.915081134435694,0.009438387728627484,87522.44747919406,2020-12-09 05:50:21,2020-12-09 05:50:59
V2020120809002,2020-12-08,14,EURNZD,1.71905,up,1,1.73601187105256,1.7020881289474399,2020-12-15,1.70208812894744,1.73601187105256,0.009867002735557406,83720.53970251608,2020-12-09 05:50:21,2020-12-09 05:50:59
V2020120809003,2020-12-08,6,USDTRY,7.81485,flat,0,8.03876829705411,7.590931702945889,2020-12-15,7.59093170294589,8.03876829705411,0.028652923223620563,34900.4529902775,2020-12-09 05:50:21,2020-12-09 05:50:59
V2020120809004,2020-12-08,14,XAUUSD,1870.26,down,-1,1835.49744544242,1905.02255455758,2020-12-15,1835.49744544242,1905.02255455758,0.01858701707654542,28.766585561012917,2020-12-09 05:50:21,2020-12-09 05:50:59
