trade_id,date_trade,strategy,ticker,price_entry,predict,buy_sell,target,stop_loss,date_exit_latest,range_dn,range_up,tp_pct,notional_for_1k_pnl
V2020101403001,2020-10-14,14,SHSZ300:IND,4812.47,down,-1,4714.28271565887,4910.65728434113,2020-10-21,4714.28271565887,4910.65728434113,0.020402679775900934,68.23148308492527
V2020101403002,2020-10-14,14,SICOM:IND,13695.18,down,-1,13368.419994916401,14021.9400050836,2020-10-21,13368.4199949164,14021.9400050836,0.02385948962215889,20.462092837242555
