trade_id,date_trade,strategy,ticker,price_entry,predict,buy_sell,target,stop_loss,date_exit_latest,range_dn,range_up,tp_pct,notional_for_1k_pnl,timestamp_px,timestamp_signal
V2024040405001,2024-04-04,4,CAC:IND,8158.33,up,1,8262.13501504199,8054.5249849580105,2024-04-11,8054.52498495801,8262.13501504199,0.012723806838162988,8.86009273850047,2024-04-04 15:50:16,2024-04-04 15:50:00
V2024040405002,2024-04-04,4,SX5E:IND,5076.15,up,1,5134.09628779103,5018.20371220897,2024-04-11,5018.20371220897,5134.09628779103,0.011415401000961278,15.871975497554617,2024-04-04 15:50:16,2024-04-04 15:50:00
V2024040405003,2024-04-04,4,FTSEMIB:IND,34528.0,up,1,34994.5744758369,34061.4255241631,2024-04-11,34061.4255241631,34994.5744758369,0.013512930834015835,1.9712224041912203,2024-04-04 15:50:16,2024-04-04 15:50:00
V2024040405004,2024-04-04,4,EUXS:LN,736.8,down,-1,729.3384787637709,744.261521236229,2024-04-11,729.338478763771,744.261521236229,0.010126928930821233,105.71307951715671,2024-04-04 15:50:16,2024-04-04 15:50:00
