trade_id,date_trade,strategy,ticker,price_entry,predict,buy_sell,target,stop_loss,date_exit_latest,range_dn,range_up,tp_pct,notional_for_1k_pnl,timestamp_px,timestamp_signal
V2025051505001,2025-05-15,14,DAX:IND,23608.22,down,-1,23086.964746337104,24129.4752536629,2025-05-22,23086.9647463371,24129.4752536629,0.02207939665349179,1.715118583755706,2025-05-15 15:50:24,2025-05-15 15:50:00
V2025051505002,2025-05-15,10,OMX:IND,2535.49,flat,0,2594.2915200948,2476.6884799051995,2025-05-22,2476.6884799052,2594.2915200948,0.023191383162544543,165.68610784709244,2025-05-15 15:50:24,2025-05-15 15:50:00
V2025051505003,2025-05-15,10,EUXS:LN,791.4,flat,0,808.487572656236,774.3124273437639,2025-05-22,774.312427343764,808.487572656236,0.021591575254278572,44.09089304633163,2025-05-15 15:50:24,2025-05-15 15:50:00
