trade_id,date_trade,strategy,ticker,price_entry,predict,buy_sell,target,stop_loss,date_exit_latest,range_dn,range_up,tp_pct,notional_for_1k_pnl,timestamp_px,timestamp_signal
V2021070505001,2021-07-05,4,DAX:IND,15666.05,down,-1,15449.399829196698,15882.7001708033,2021-07-12,15449.3998291967,15882.7001708033,0.01382927865054051,3.892294682204161,2021-07-05 15:50:15,2021-07-05 15:50:00
V2021070505002,2021-07-05,14,SXXPIEX:GR,45.55,down,-1,45.016388988446195,46.0836110115538,2021-07-12,45.0163889884462,46.0836110115538,0.011714841087899108,1580.3015482398475,2021-07-05 15:50:15,2021-07-05 15:50:00
V2021070505003,2021-07-05,4,FTSEMIB:IND,25450.5,down,-1,25077.5477573218,25823.4522426782,2021-07-12,25077.5477573218,25823.4522426782,0.014654024191202542,2.261057077069023,2021-07-05 15:50:15,2021-07-05 15:50:00
V2021070505004,2021-07-05,14,UKX:IND,7161.19,down,-1,7079.355584119149,7243.02441588085,2021-07-12,7079.35558411915,7243.02441588085,0.011427488431510646,8.828823200197991,2021-07-05 15:50:15,2021-07-05 15:50:00
V2021070505005,2021-07-05,4,EUXS:LN,642.7,down,-1,636.7332754244951,648.666724575505,2021-07-12,636.733275424495,648.666724575505,0.009283840945238708,121.08847666097563,2021-07-05 15:50:15,2021-07-05 15:50:00
