trade_id,date_trade,strategy,ticker,price_entry,predict,buy_sell,target,stop_loss,date_exit_latest,range_dn,range_up,tp_pct,notional_for_1k_pnl,timestamp_px,timestamp_signal
V2024092507001,2024-09-25,14,INDU:IND,42208.2,flat,0,42904.6098027855,41511.7901972145,2024-10-02,41511.7901972145,42904.6098027855,0.016499395917985105,1.4359361341557824,2024-09-25 20:50:26,2024-09-25 20:50:00
V2024092507002,2024-09-25,14,SPX:IND,5732.93,flat,0,5837.9755051356,5627.884494864401,2024-10-02,5627.8844948644,5837.9755051356,0.01832317944499562,9.519683861857228,2024-09-25 20:50:26,2024-09-25 20:50:00
V2024092507003,2024-09-25,14,VTI:US,282.8,flat,0,287.990281926246,277.60971807375404,2024-10-02,277.609718073754,287.990281926246,0.018353189272439785,192.66776144533642,2024-09-25 20:50:26,2024-09-25 20:50:00
V2024092507004,2024-09-25,14,EFA:US,83.08,down,-1,81.6754032051295,84.4845967948705,2024-10-02,81.6754032051295,84.4845967948705,0.016906557473164385,711.948086206618,2024-09-25 20:50:26,2024-09-25 20:50:00
