trade_id,date_trade,strategy,ticker,price_entry,predict,buy_sell,target,stop_loss,date_exit_latest,range_dn,range_up,tp_pct,notional_for_1k_pnl,timestamp_px,timestamp_signal
V2024101407001,2024-10-14,11,INDU:IND,43122.4,flat,0,43753.4959231362,42491.3040768638,2024-10-21,42491.3040768638,43753.4959231362,0.014634990704047057,1.5845451750512842,2024-10-14 20:50:32,2024-10-14 20:50:00
V2024101407002,2024-10-14,11,XLF:US,46.8,up,1,47.5909438650022,46.00905613499779,2024-10-21,46.0090561349978,47.5909438650022,0.016900509935944497,1264.3122277675363,2024-10-14 20:50:32,2024-10-14 20:50:00
V2024101407003,2024-10-14,14,CCMP:IND,18534.85,down,-1,18156.641597656697,18913.0584023433,2024-10-21,18156.6415976567,18913.0584023433,0.0204052583292178,2.6440449069989005,2024-10-14 20:50:32,2024-10-14 20:50:00
V2024101407004,2024-10-14,14,NDX:IND,20448.88,down,-1,20017.592041794604,20880.1679582054,2024-10-21,20017.5920417947,20880.1679582054,0.021091030814665457,2.318636495581824,2024-10-14 20:50:32,2024-10-14 20:50:00
V2024101407005,2024-10-14,14,IWD:US,192.75,down,-1,190.448352919248,195.051647080752,2024-10-21,190.448352919248,195.051647080752,0.01194110028924511,434.4714740859748,2024-10-14 20:50:32,2024-10-14 20:50:00
V2024101407006,2024-10-14,14,VTV:US,177.49,down,-1,174.98642648287603,179.993573517124,2024-10-21,174.986426482876,179.993573517124,0.014105434205442524,399.4290533751773,2024-10-14 20:50:32,2024-10-14 20:50:00
V2024101407007,2024-10-14,14,VYM:US,130.96,down,-1,129.30260994525102,132.617390054749,2024-10-21,129.302609945251,132.617390054749,0.012655696813904882,603.358272323803,2024-10-14 20:50:32,2024-10-14 20:50:00
