trade_id,date_trade,strategy,ticker,price_entry,predict,buy_sell,target,stop_loss,date_exit_latest,range_dn,range_up,tp_pct,notional_for_1k_pnl,timestamp_px,timestamp_signal
V2022022105001,2022-02-21,11,DAX:IND,14784.86,up,1,15265.6809890505,14304.039010949502,2022-02-28,14304.0390109495,15265.6809890505,0.032521172946547994,1.8347457960184252,2022-02-21 15:50:22,2022-02-21 15:50:00
V2022022105002,2022-02-21,11,SX5E:IND,3997.25,up,1,4116.90235455486,3877.59764544514,2022-02-28,3877.59764544514,4116.90235455486,0.029933668035489358,7.372895348192665,2022-02-21 15:50:22,2022-02-21 15:50:00
V2022022105003,2022-02-21,11,OMX:IND,2165.76,up,1,2233.79314334114,2097.7268566588605,2022-02-28,2097.72685665886,2233.79314334114,0.031413057467650995,138.0459514108738,2022-02-21 15:50:22,2022-02-21 15:50:00
