trade_id,date_trade,strategy,ticker,price_entry,predict,buy_sell,target,stop_loss,date_exit_latest,range_dn,range_up,tp_pct,notional_for_1k_pnl,timestamp_px,timestamp_signal
V2024060707001,2024-06-07,4,EZU:US,51.91,down,-1,51.09141889933179,52.7285811006682,2024-06-14,51.0914188993318,52.7285811006682,0.015769237154078297,1221.626054136486,2024-06-07 20:50:20,2024-06-07 20:50:00
V2024060707002,2024-06-07,8,SPX:IND,5344.66,flat,0,5417.27182716734,5272.0481728326595,2024-06-14,5272.04817283266,5417.27182716734,0.013585864613902654,13.771861128014361,2024-06-07 20:50:20,2024-06-07 20:50:00
V2024060707003,2024-06-07,14,CCMP:IND,17144.9,down,-1,16861.399162889804,17428.4008371102,2024-06-14,16861.3991628899,17428.4008371102,0.01653557834167585,3.5273264452876893,2024-06-07 20:50:20,2024-06-07 20:50:00
V2024060707004,2024-06-07,14,NDX:IND,18994.61,down,-1,18677.3475707168,19311.8724292832,2024-06-14,18677.3475707168,19311.8724292832,0.016702760903393177,3.151964770172519,2024-06-07 20:50:20,2024-06-07 20:50:00
V2024060707005,2024-06-07,14,SPX:IND,5344.66,down,-1,5280.11615362903,5409.20384637097,2024-06-14,5280.11615362903,5409.20384637097,0.012076324101246705,15.493343769016283,2024-06-07 20:50:20,2024-06-07 20:50:00
V2024060707006,2024-06-07,14,EFA:US,81.19,down,-1,80.1795291034088,82.2004708965912,2024-06-14,80.1795291034088,82.2004708965912,0.012445755592944918,989.6376069548156,2024-06-07 20:50:20,2024-06-07 20:50:00
V2024060707007,2024-06-07,14,IWF:US,351.07,down,-1,345.05995379185197,357.080046208148,2024-06-14,345.059953791852,357.080046208148,0.017119224679260636,166.38807179955867,2024-06-07 20:50:20,2024-06-07 20:50:00
V2024060707008,2024-06-07,14,ACWI:US,111.98,down,-1,110.56274662185301,113.397253378147,2024-06-14,110.562746621853,113.397253378147,0.012656308074182832,705.5901332953343,2024-06-07 20:50:20,2024-06-07 20:50:00
