trade_id,date_trade,strategy,ticker,price_entry,predict,buy_sell,target,stop_loss,date_exit_latest,range_dn,range_up,tp_pct,notional_for_1k_pnl,timestamp_px,timestamp_signal
V2024092608001,2024-09-26,10,EURAUD,1.621065,flat,0,1.63521487785836,1.60691512214164,2024-10-03,1.60691512214164,1.63521487785836,0.008728754157519836,102409.8816753482,2024-09-26 21:50:21,2024-09-26 21:50:00
V2024092608002,2024-09-26,10,GBPCAD,1.8083,flat,0,1.82241532916107,1.79418467083893,2024-10-03,1.79418467083893,1.82241532916107,0.007805855865215872,95398.30302735232,2024-09-26 21:50:21,2024-09-26 21:50:00
V2024092608003,2024-09-26,14,XAUUSD,2654.84,up,1,2697.60715920738,2612.0728407926204,2024-10-03,2612.07284079262,2697.60715920738,0.016109128688500896,23.382427510580225,2024-09-26 21:50:21,2024-09-26 21:50:00
