trade_id,date_trade,strategy,ticker,price_entry,predict,buy_sell,target,stop_loss,date_exit_latest,range_dn,range_up,tp_pct,notional_for_1k_pnl,timestamp_px,timestamp_signal
V2022022407001,2022-02-24,9,CCMP:IND,13428.59,down,-1,12891.0572958265,13966.1227041735,2022-03-03,12891.0572958265,13966.1227041735,0.040028975802634426,1.8603519232147623,2022-02-24 20:50:27,2022-02-24 20:50:00
V2022022407002,2022-02-24,9,NDX:IND,13924.24,down,-1,13361.257184865299,14487.2228151347,2022-03-03,13361.2571848653,14487.2228151347,0.040431852304664506,1.7762531521690155,2022-02-24 20:50:27,2022-02-24 20:50:00
V2022022407003,2022-02-24,9,RSP:US,150.75,down,-1,146.731448460522,154.768551539478,2022-03-03,146.731448460522,154.768551539478,0.026657058304995207,248.84588145157664,2022-02-24 20:50:27,2022-02-24 20:50:00
