trade_id,date_trade,strategy,ticker,price_entry,predict,buy_sell,target,stop_loss,date_exit_latest,range_dn,range_up,tp_pct,notional_for_1k_pnl,timestamp_px,timestamp_signal
V2025041407001,2025-04-14,6,INDU:IND,40212.7,flat,0,41946.4139113803,38478.98608861969,2025-04-21,38478.9860886197,41946.4139113803,0.043113591262966766,0.5767964330423154,2025-04-14 20:50:19,2025-04-14 20:50:00
V2025041407002,2025-04-14,6,CCMP:IND,16900.57,flat,0,17970.6120807096,15830.527919290398,2025-04-21,15830.5279192904,17970.6120807096,0.06331396400888267,0.9345426857762887,2025-04-14 20:50:19,2025-04-14 20:50:00
V2025041407003,2025-04-14,6,NDX:IND,18920.02,flat,0,20070.0375829408,17770.0024170592,2025-04-21,17770.0024170592,20070.0375829408,0.06078310609295334,0.8695519223652411,2025-04-14 20:50:19,2025-04-14 20:50:00
V2025041407004,2025-04-14,6,SPX:IND,5361.2,flat,0,5625.14287731867,5097.25712268133,2025-04-21,5097.25712268133,5625.14287731867,0.049232052025417916,3.788698562957065,2025-04-14 20:50:19,2025-04-14 20:50:00
V2025041407005,2025-04-14,6,XLF:US,46.51,flat,0,49.4131436812796,43.606856318720396,2025-04-21,43.6068563187204,49.4131436812796,0.06241977383959574,344.4541882127023,2025-04-14 20:50:19,2025-04-14 20:50:00
V2025041407006,2025-04-14,6,VTI:US,261.79,flat,0,275.433756308505,248.14624369149504,2025-04-21,248.146243691495,275.433756308505,0.05211717906912017,73.2935987266674,2025-04-14 20:50:19,2025-04-14 20:50:00
V2025041407007,2025-04-14,6,EEM:US,41.85,flat,0,43.9414342444202,39.7585657555798,2025-04-21,39.7585657555798,43.9414342444202,0.049974533916850694,478.1407795477812,2025-04-14 20:50:19,2025-04-14 20:50:00
V2025041407008,2025-04-14,6,EFA:US,78.96,flat,0,83.1039910612023,74.8160089387977,2025-04-21,74.8160089387977,83.1039910612023,0.05248215629688824,241.313261836494,2025-04-14 20:50:19,2025-04-14 20:50:00
V2025041407009,2025-04-14,6,XBI:US,74.38,flat,0,79.4801107050918,69.27988929490819,2025-04-21,69.2798892949081,79.4801107050918,0.06856830740913966,196.07417521381015,2025-04-14 20:50:19,2025-04-14 20:50:00
V2025041407010,2025-04-14,6,XRT:US,66.35,flat,0,71.0964254770554,61.603574522944584,2025-04-21,61.6035745229446,71.0964254770554,0.0715361790061102,210.6848627107025,2025-04-14 20:50:19,2025-04-14 20:50:00
V2025041407011,2025-04-14,6,IWF:US,350.0,flat,0,373.609144839616,326.390855160384,2025-04-21,326.390855160384,373.609144839616,0.06745469954175998,42.356468512235416,2025-04-14 20:50:19,2025-04-14 20:50:00
V2025041407012,2025-04-14,6,IWD:US,176.12,flat,0,184.079943610837,168.160056389163,2025-04-21,168.160056389163,184.079943610837,0.04519613678649215,125.62903066782515,2025-04-14 20:50:19,2025-04-14 20:50:00
V2025041407013,2025-04-14,6,USMV:US,89.98,flat,0,93.4170713623428,86.54292863765721,2025-04-21,86.5429286376572,93.4170713623428,0.03819817028609451,290.94537022308947,2025-04-14 20:50:19,2025-04-14 20:50:00
V2025041407014,2025-04-14,6,ACWI:US,111.55,flat,0,116.953329899564,106.146670100436,2025-04-21,106.146670100436,116.953329899564,0.04843863648197222,185.0710614727949,2025-04-14 20:50:19,2025-04-14 20:50:00
V2025041407015,2025-04-14,6,IJH:US,54.25,down,-1,51.0540880781115,57.4459119218885,2025-04-21,51.0540880781115,57.4459119218885,0.0589108188366545,312.8997370519168,2025-04-14 20:50:19,2025-04-14 20:50:00
V2025041407016,2025-04-14,6,MDY:US,495.97,flat,0,525.407663377492,466.53233662250807,2025-04-21,466.532336622508,525.407663377492,0.05935371771980558,33.97008747523758,2025-04-14 20:50:19,2025-04-14 20:50:00
V2025041407017,2025-04-14,6,RSP:US,162.3,flat,0,170.112619464703,154.48738053529704,2025-04-21,154.487380535297,170.112619464703,0.04813690366422052,127.9980427202359,2025-04-14 20:50:19,2025-04-14 20:50:00
V2025041407018,2025-04-14,6,VEA:US,48.39,flat,0,50.9128242706318,45.8671757293682,2025-04-21,45.8671757293682,50.9128242706318,0.05213524014531523,396.38115569165853,2025-04-14 20:50:19,2025-04-14 20:50:00
V2025041407019,2025-04-14,6,VTV:US,162.01,flat,0,169.406447056971,154.613552943029,2025-04-21,154.613552943029,169.406447056971,0.045654262434238646,135.20004838776208,2025-04-14 20:50:19,2025-04-14 20:50:00
V2025041407020,2025-04-14,6,IJR:US,96.25,flat,0,102.283354644448,90.216645355552,2025-04-21,90.2166453555523,102.283354644448,0.062684204098161,165.745270903347,2025-04-14 20:50:19,2025-04-14 20:50:00
