trade_id,date_trade,strategy,ticker,price_entry,predict,buy_sell,target,stop_loss,date_exit_latest,range_dn,range_up,tp_pct,notional_for_1k_pnl,timestamp_px,timestamp_signal
V2021070707001,2021-07-07,4,XLF:US,36.41,down,-1,35.60911943989219,37.2108805601078,2021-07-14,35.6091194398922,37.2108805601078,0.021996170285850214,1248.62563759244,2021-07-07 20:50:19,2021-07-07 20:50:00
V2021070707002,2021-07-07,4,IWD:US,158.97,down,-1,156.075273254907,161.864726745093,2021-07-14,156.075273254908,161.864726745093,0.018209264295735217,345.45575042450616,2021-07-07 20:50:19,2021-07-07 20:50:00
V2021070707003,2021-07-07,4,ACWI:US,101.92,down,-1,100.673661213166,103.166338786834,2021-07-14,100.673661213166,103.166338786834,0.012228598771919064,802.350059681804,2021-07-07 20:50:19,2021-07-07 20:50:00
V2021070707004,2021-07-07,4,RSP:US,151.32,down,-1,148.98926603506698,153.650733964933,2021-07-14,148.989266035067,153.650733964933,0.01540268282403523,429.0493960466834,2021-07-07 20:50:19,2021-07-07 20:50:00
V2021070707005,2021-07-07,4,VTV:US,137.86,down,-1,135.97951699813203,139.740483001868,2021-07-14,135.979516998132,139.740483001868,0.013640526634759897,531.7782713306307,2021-07-07 20:50:19,2021-07-07 20:50:00
V2021070707006,2021-07-07,4,VYM:US,104.69,down,-1,103.213507851774,106.166492148226,2021-07-14,103.213507851774,106.166492148226,0.01410346879573976,677.2809467368312,2021-07-07 20:50:19,2021-07-07 20:50:00
V2021070707007,2021-07-07,4,EZU:US,49.41,up,1,50.2042403876381,48.61575961236189,2021-07-14,48.6157596123619,50.2042403876381,0.016074486695772272,1259.064655442384,2021-07-07 20:50:19,2021-07-07 20:50:00
V2021070707008,2021-07-07,9,VWO:US,53.05,up,1,53.8067486542805,52.2932513457195,2021-07-14,52.2932513457195,53.8067486542805,0.014264819119330863,1321.442719909129,2021-07-07 20:50:19,2021-07-07 20:50:00
V2021070707009,2021-07-07,14,NDX:IND,14820.02,up,1,15012.2255243091,14627.8144756909,2021-07-14,14627.8144756909,15012.2255243091,0.01296931612164487,5.202764091170598,2021-07-07 20:50:19,2021-07-07 20:50:00
V2021070707010,2021-07-07,14,VTI:US,225.19,down,-1,222.841873428975,227.538126571025,2021-07-14,222.841873428975,227.538126571025,0.010427312807073985,425.87142121707933,2021-07-07 20:50:19,2021-07-07 20:50:00
V2021070707011,2021-07-07,14,ACWI:US,101.92,down,-1,100.673661213166,103.166338786834,2021-07-14,100.673661213166,103.166338786834,0.012228598771919064,802.350059681804,2021-07-07 20:50:19,2021-07-07 20:50:00
