trade_id,date_trade,strategy,ticker,price_entry,predict,buy_sell,target,stop_loss,date_exit_latest,range_dn,range_up,tp_pct,notional_for_1k_pnl,timestamp_px,timestamp_signal
V2021090105001,2021-09-01,14,SX5E:IND,4224.25,down,-1,4172.44146317737,4276.05853682263,2021-09-08,4172.44146317737,4276.05853682263,0.012264552718856736,16.29479654044289,2021-09-01 15:50:15,2021-09-01 15:50:00
V2021090105002,2021-09-01,4,SXXPIEX:GR,47.1,down,-1,46.5388754435848,47.6611245564152,2021-09-08,46.5388754435848,47.6611245564152,0.011913472535354686,1504.4958502192753,2021-09-01 15:50:15,2021-09-01 15:50:00
V2021090105003,2021-09-01,14,SXXPIEX:GR,47.1,down,-1,46.5388754435848,47.6611245564152,2021-09-08,46.5388754435848,47.6611245564152,0.011913472535354686,1504.4958502192753,2021-09-01 15:50:15,2021-09-01 15:50:00
V2021090105004,2021-09-01,4,OMX:IND,2365.69,down,-1,2332.4319916816703,2398.94800831833,2021-09-08,2332.43199168167,2398.94800831833,0.014058481169692438,258.76128593235654,2021-09-01 15:50:15,2021-09-01 15:50:00
V2021090105005,2021-09-01,4,SMI:IND,12429.5,down,-1,12296.6424222466,12562.3575777534,2021-09-08,12296.6424222466,12562.3575777534,0.01068889156871955,6.887977452807219,2021-09-01 15:50:15,2021-09-01 15:50:00
V2021090105006,2021-09-01,14,SMI:IND,12429.5,down,-1,12296.6424222466,12562.3575777534,2021-09-08,12296.6424222466,12562.3575777534,0.01068889156871955,6.887977452807219,2021-09-01 15:50:15,2021-09-01 15:50:00
V2021090105007,2021-09-01,14,UKX:IND,7148.28,down,-1,7061.58681223203,7234.97318776797,2021-09-08,7061.58681223203,7234.97318776797,0.012127838832274307,8.368257529686014,2021-09-01 15:50:15,2021-09-01 15:50:00
V2021090105008,2021-09-01,4,EUXS:LN,662.9,down,-1,654.0541170914349,671.745882908565,2021-09-08,654.054117091435,671.745882908565,0.013344219201335106,82.01226817159858,2021-09-01 15:50:15,2021-09-01 15:50:00
V2021090105009,2021-09-01,14,EUXS:LN,662.9,down,-1,654.0541170914349,671.745882908565,2021-09-08,654.054117091435,671.745882908565,0.013344219201335106,82.01226817159858,2021-09-01 15:50:15,2021-09-01 15:50:00
