trade_id,date_trade,strategy,ticker,price_entry,predict,buy_sell,target,stop_loss,date_exit_latest,range_dn,range_up,tp_pct,notional_for_1k_pnl,timestamp_px,timestamp_signal
V2021011409001,2021-01-14,1,BTCUSD,38554.5,up,1,43034.3720144332,34074.6279855668,2021-01-21,34074.6279855668,43034.3720144332,0.11619582706125597,0.22322066272835764,2021-01-15 05:50:22,2021-01-15 05:50:59
V2021011409002,2021-01-14,9,EURCHF,1.079575,flat,0,1.08530483401845,1.07384516598155,2021-01-21,1.07384516598155,1.08530483401845,0.0053074904647198995,155018.17236137233,2021-01-15 05:50:22,2021-01-15 05:50:59
V2021011409003,2021-01-14,14,USDTRY,7.35945,flat,0,7.50898409342561,7.209915906574389,2021-01-21,7.20991590657439,7.50898409342561,0.020318650636339752,49215.866638875494,2021-01-15 05:50:22,2021-01-15 05:50:59
